supplier,recipient,ordered,designation_num,weapon_description,delivery_year,delivered_num,comments
" France
", Qatar, 300, AASM, ASM, 2018, (50), For Rafale combat aircraft
" France
", Qatar,, 60, AM-39 Exocet, 2015, , 
" France
", Qatar,, 52, M-88, 2015, , 
" France
", Qatar,, (160), Meteor, 2015, 2018, 20
" France
", Qatar,, 300, MICA, 2015, 2018, (50)
" France
", Qatar,, 24, Rafale, 2015, 2018, (3)
" France
", Qatar,, 140, Storm Shadow/SCALP, 2015, , 
" France
", Qatar,, , Exocet CDS, 2016, , 
" France
", Qatar,, , MICA, 2016, , 
" France
", Qatar,, , MM-40-3 Exocet, 2016, , 
" France
", Qatar,, , MM-40-3 Exocet, 2016, , 
" France
", Qatar,, (4), VL-MICA-M, 2016, , 
" France
", Qatar,, 12, Rafale, 2017, , 
" France
", Qatar,, 16, AS-350/AS-550 Fennec, 2018, 2018, (1)
" France
", Qatar,, 490, VBCI, (2018), , 
" France
", Saudi Arabia, (250), MICA, BVRAAM, 2018, (100), For VL-MICA SAM system
" France
", Saudi Arabia,, (5), VL-MICA, 2013, 2018, (2)
" France
", Saudi Arabia,, (4), COBRA, (2014), 2017-2018, (3)
" France
", Saudi Arabia,, 3, Combattante FS-56, 2015, , 
" France
", Saudi Arabia,, (10), FLASH, 2015, 2018, (5)
" France
", Saudi Arabia,, 100, VAB-VCI, 2016, 2018, (50)
" France
", Saudi Arabia,, (500), ARIVE, 2017, 2016-2018, (500)
" France
", Senegal, (2), Ground Master-400, Air search radar, , , Delivery planned 2019
" France
", Singapore, (200), ASTER-30, SAM, 2017-2018, (200), For SAMP/T SAM system
" France
", Singapore,, (150), MICA, (2013), 2017-2018, (80)
" France
", Singapore,, (2), SAMP/T, 2013, 2017-2018, (2)
" France
", Singapore,, 8, VL-MICA-M, 2013, 2017-2018, (5)
" France
", Singapore,, (12), EC725 Super Cougar, (2016), , 
" France
", Spain, 3, AS-532 Cougar/AS-332, Transport helicopter, 2017-2018, 3, H215 version |  for SAR
" France
", Sri Lanka, 4, 20PA6, Diesel engine, 2017-2018, 4, For 2 Samarth (Sayurai) OPV from India
" France
", Sweden, 5, FLASH, ASW sonar, 2015-2016, (4), FLASH-S version for 5 NH-90 ASW helicopters from FRG
" France
", Tanzania, 8, AS-350/AS-550 Fennec, Light helicopter, 2018, (1), H125 version
" France
", Tanzania,, 2, AS-532 Cougar/AS-332, 2017, 2018, (2)
" France
", Tanzania,, 2, EC725 Super Cougar, 2017, 2018, 2
" France
", Thailand, 2, EC725 Super Cougar, Transport helicopter, 2018, 2, H225M version
" France
", Thailand,, (50), MICA, 2016, , 
" France
", Thailand,, 1, VL-MICA, (2016), , 
" France
", Thailand,, 4, EC725 Super Cougar, 2018, , 
" France
", Turkey, 15, Ocean Master, MP aircraft radar, 2013-2014, (9), Part of $400 m deal |  part of 'Meltem' programme |  for 9 CN-235MPA from Spain and 6 ATR-72 MP aircraft from Italy
" France
", UAE, 2, Helios-2, Recce satellite, , , EUR700 m deal |  Falcon Eye or Pleiades version |  delivery planned 2019
" France
", UAE,, 2, Gowind-2500, 2017, , 
" France
", Ukraine, 12, EC725 Super Cougar, Transport helicopter, 2018, 1, Second-hand |  part of EUR555 m deal |  H-225 version |  delivery planned by 2021
" Germany
", Turkey, 5, MAN-3240, Diesel engine, , , For 1 BPE (Anadolu) AALS from Spain |  probably from Spanish production liune
" Germany
", Australia, 12, OPV-80, OPV, , , AUD4 b ($3 b) 'Sea-1180 Phase-1' programme
" Germany
", Australia,, 211, Boxer, 2018, , 
" Germany
", Australia,, 78, Boxer, 2018, , 
" Germany
", Canada, 18, Wisent-2, AEV/ARV, 2017-2018, 18, Canadian Leopard-2A4 tanks rebuilt to Wisent-2 ARV
" Germany
", Canada,, 2, Berlin, (2013), , 
" Germany
", China, . ., BF8L, Diesel engine, 1982-2018, (4650)," For YW-531 (Type-63), YW-531H (Type-85), YW-534 (Type-89), YW-535 (Type-90), WZ-551 and WMZ-551 (Type-92) APC (incl IFV and other versions), PLT-02 tank destroyer, PTL-05 self-propelled mortar and Type-85 self-propelled gun produced in China |  incl BF-8L4 version"
" Germany
", China,, (38), MTU-956, (2010), 2014-2018, (24)
" Germany
", India, (22250), MILAN, Anti-tank missile, 1984-2018, (22000), MILAN-2 and MILAN-2T version |  ordered from French-FRG company |  most produced in India |  incl for BMP-2 IFV
" Germany
", India,, (16), ACTAS, (2014), , 
" Germany
", India,, 12, Do-228MP, (2016), , 
" Germany
", India,, 14, RK-280, 2016, , 
" Germany
", Israel, 4, MEKO PC-IN, Frigate, , , EUR430 m deal (incl EUR115 m paid by Germany |  NIS700 m offsets |  incl production of components and final fitting out in Israel) |  Israeli designation Saar-6 or Magen |  delivery planned 2019/2020-2022
" Germany
", Norway, 4, Type-212, Submarine, , , Offsets incl production of components in Norway and sale of NSM anti-ship missiles to Germany  |  selected but not yet ordered by end-2017
" Germany
", Poland, 1, MEKO-A100, OPV, , , 'Project-621 Gawron-2' |  originally ordered as frigate but changed 2013 to OPV |  1 more cancelled and option on 5 more not used |  delivery planned 2019
" Germany
", Singapore, 2, Type-218, Submarine, , , Type-218SG version |  delivery from 2021
" Germany
", Singapore,, 2, Type-218, 2017, , 
" Germany
", South Korea, 6, Type-214, Submarine, 2014-2018, (5), 'KSS-2' programme |  delivery planned 2014-2019
" Germany
", Spain, 12, MTU-396, Diesel engine, , , For 4 S-80A submarines produced in Spain
" Germany
", Spain,, 40, DM2A4 Seehecht, 2005, , 
" Germany
", Sweden, . ., IRIS-T, SRAAM, , , IRIS-T SLS SAM version |  incl production of components in Sweden |  delivery 2019
" Germany
", Turkey, 6, Type-214, Submarine, , , EUR2.2-2.5 b deal |  Type-214TN version |  produced in Turkey |  Turkish designation Reis |  delivery planned 2019-2024
" Germany
", United Kingdom, (500), Boxer, APC, , , Produced in UK |  delivery planned from 2023
" Germany
", United States, (27), TRS-3D, Air/sea search radar, 2006-2018, (13), TRS-3D/16 version for 15 Freedom (LCS-1) frigates and 11 Legend (NSC) OPV produced in USA and 1 land-based site |  possibly incl production in USA
" Germany
", United States,, (155), EC145, 2014, 2015-2018, (92)
" Germany
", Algeria, 926, Fuchs-2, APC, 2015-2018, (237), Assembled in Algeria |  delivery planned 2015-2025
" Germany
", Australia, 9, ASR-NG, Air search radar, 2018, (3), EUR130 m 'Project Air-5431 Phase-2' |  incl for civilian air traffic control
" Germany
", Austria, 40, Dingo-2, APC, 2018, (16), EUR51-64 m deal |  delivery planned 2018-2019
" Germany
", Bangladesh, 2, Do-228MP, MP aircraft, , , 
" Germany
", Belgium, (28), TP400-D6, Turboprop, , , For 7 A400M transport aircraft from Spain
" Germany
", Brazil, 16, MTU-396, Diesel engine, , , For 4 Scorpene submarines from France
" Germany
", Chile, 3, TRS-4D, Multifunction radar, , , For modernization of 3 Type-23 frigates
" Germany
", Denmark, (16), Leopard-2A7, Tank, , , Part of EUR113 m deal |  Danish Leopard-2A5 rebuilt to Leopard-2A7V
" Germany
", Egypt, 2, Type-209/1400, Submarine, , , Delivery planned by 2021
" Germany
", Egypt,, (125), SUT, (2015), 2016-2017, (50)
" Germany
", Egypt,, (330), AIM-9L/I Sidewinder, (2017), 2018, (50)
" Germany
", Egypt,, 7, IRIS-T SLS, (2018), , 
" Germany
", Egypt,, 2, MEKO-A200, (2018), , 
" Germany
", France, (32), MTU-4000, Diesel engine, 2012-2018, 20, For 8 Aquitaine (FREMM) frigates produced in France
" Germany
", Greece, 8, MTU-595, Diesel engine, , , MTU-16V-595 version for 2 Super Vita (Roussen) FAC from UK
" Germany
", Greece,, (70), RIM-116A RAM, (2008), , 
" Germany
", Hungary, 2, A319, Transport aircraft, 2018, 2, Second-hand
" Germany
", Hungary,, 20, EC145, 2018, , 
" Germany
", Hungary,, 12, Leopard-2A4, 2018, , 
" Germany
", Hungary,, 44, Leopard-2A7, 2018, , 
" Germany
", Hungary,, 24, PzH-2000 155mm, 2018, , 
" Germany
", India, 24, MAN V6, Diesel engine, 2017, 4, For 6 Scorpene submarines from France
" Germany
", India,, (118), MTU-838, (2014), , 
" Germany
", India,, (100), MTU-881, 2017, 2018, (10)
" Germany
", Indonesia, 3, KaleidoScope, Submarine sonar, 2017-2018, 2, For 3 Type-209/1400 (Nagapasa) submarines from South Korea
" Germany
", Indonesia,, (8), MTU-4000, (2011), 2014, 6
" Germany
", Indonesia,, 12, MTU-493, 2011, 2017-2018, 8
" Germany
", Indonesia,, 18, OM-366, 2017, , 
" Germany
", Indonesia,, 2, Frankenthal/Type-332, (2018), , 
" Germany
", Israel, (790), MTU-883, Diesel engine, 2002-2017, (785), For Merkava-4 tanks and Namer APC produced in Israel |  assembled in USA from components produced in FRG
" Germany
", Israel,, (150), DM2A4 Seehecht, (2002), 2014-2018, (70)
" Germany
", Israel,, 1, Dolphin/Type-800, 2012, , 
" Germany
", Israel,, 3, Dolphin/Type-800, (2017), , 
" Germany
", Japan, 16, RK-280, Diesel engine, , , MAN-28V/33D for 8 30FF frigates produced in Japan |  selected but not yet ordered by end-2018
" Germany
", Jordan, 2, G-120TP, Trainer aircraft, 2018, 2, 
" Germany
", Jordan,, 25, Marder-1A3, 2017, 2018, 25
" Germany
", Lithuania, 21, M-113, APC, , , Part of EUR58 m ($65 m) deal |  second-hand but probably modernized before delivery |  M-577V2 version |  delivery planned 2019
" Germany
", Lithuania,, 18, PzH-2000 155mm, 2015, 2016-2018, (18)
" Germany
", Lithuania,, 2, Boxer, 2016, , 
" Germany
", Lithuania,, 89, Boxer, 2016, , 
" Germany
", Lithuania,, 168, M-113, 2016, 2018, (168)
" Germany
", Luxembourg, 4, TP400-D6, Turboprop, , , For 1 A400M transport aircraft from Spain
" Germany
", Luxembourg,, (2), EC145, 2018, , 
" Germany
", Malaysia, (257), BFM-2015, Diesel engine, 2014-2018, (161), For 257 Pars APC and IFV from Turkey
" Germany
", Netherlands, (200), MTU-199, Diesel engine, 2013-2018, (200), For Boxer APC produced in Netherlands |  assembled in Netherlands
" Germany
", Netherlands,, 10, PiPz-3 Kodiak, 2008, 2018, (10)
" Germany
", Netherlands,, 18, Leopard-2A6, (2015), 2018, 18
" Germany
", Netherlands,, 5, PSB-2, 2016, , 
" Germany
", Norway, 6, Wisent-2, AEV/ARV, 2017-2018, 3, Second-hand Leopard-2 tanks rebuilt to Wisent ARV |  delivery planned 2017-2019
" Germany
", Norway,, (24), MTU-881, 2017, , 
" Germany
", Oman, (172), BFM-2015, Diesel engine, 2017-2018, (67), For Pars IFV from Turkey
" Germany
", Pakistan, 8, MTU-595, Diesel engine, , , For 4 MilGem frigates from Turkey
" Germany
", Philippines, (130), AIM-9L/I Sidewinder, SRAAM, , , AIM-9L/I-1 version |  for F/A-50 combat aircraft |  delivery planned from 2019
" Germany
", Poland, (120), MTU-881, Diesel engine, 2016-2018, (32), For 120 K-9 self-propelled guns from South Korea
" Germany
", Qatar, 62, Leopard-2A6, Tank, 2015-2018, (62), Part of EUR1.9 b deal |  Leopard-2A7+ version
" Germany
", Qatar,, 32, Fennek, (2014), 2017-2018, (32)
" Germany
", Qatar,, 17, Q-01, 2016, , 
" Germany
", Saudi Arabia, (33), FPB-40, Patrol craft, 2016-2018, (13), Part of EUR1.4-1.5 b deal
" Germany
", Saudi Arabia,, 2, IPV-60, 2015, , 
" Germany
", Saudi Arabia,, 23, EC145, 2016, 2017-2018, (23)
" Germany
", Saudi Arabia,, 4, TRS-4D, (2017), , 
" Germany
", Serbia, 6, EC145, Light helicopter, 2018, 1, H145M (EC145M) version |  incl 4 armed version |  delivery planned 2018-2019
" Germany
", Singapore, . ., Leopard-2A7, Tank, 2016-2017, 25, 
" Germany
", Singapore,, 16, MTU-4000, 2013, 2017-2018, (10)
" Germany
", South Korea, (1306), MTU-881, Diesel engine, 1999-2018, (1135), For K-9 self-propelled guns and K-10 ALV produced in South Korea
" Germany
", South Korea,, (36), MTU-1163, (2005), 2008-2018, 36
" Germany
", South Korea,, 16, MAN-12V28, (2012), 2014-2018, 16
" Germany
", South Korea,, 2, MTU-4000, (2012), 2018, 2
" Germany
", South Korea,, 14, MTU-4000, (2017), , 
" Germany
", South Korea,, 90, Taurus KEPD-350, 2018, , 
" Germany
", Spain, (119), MTU-183, Diesel engine, 2009-2017, (84), For 119 Pizarro (ASCOD) IFV produced in Spain
" Germany
", Spain,, 4, MTU-1163, 2014, 2018, 4
" Germany
", Taiwan, (22), MTU-4000, Diesel engine, , , For 11 Tuo Jiang corvettes produced in Taiwan
" Germany
", Thailand, 1, ACTAS, ASW sonar, 2018, 1, For 1 DW-3000 (Bhumibol Adulyadej) frigate from South Korea
" Germany
", Thailand,, 1, ASO-712, 2013, 2018, 1
" Germany
", Thailand,, 1, ACTAS, (2015), , 
" Germany
", Thailand,, 1, ASO-712, (2015), , 
" Germany
", Thailand,, 2, RK-280, 2016, , 
" Germany
", Thailand,, (42), IRIS-T, 2018, 2018, (21)
" Germany
", Turkey, (40), TP400-D6, Turboprop, 2014-2018, (28), For 10 A400M transport aircraft from Spain
" Germany
", Turkey,, (70), MTU-881, 2008, 2013-2018, (52)
" Germany
", Turkey,, 4, MTU-595, (2014), 2018, 2
" Germany
", Turkey,, 8, MTU-595, (2016), , 
" Germany
", UAE, 4, BR-710, Turbofan, 2018, 2, For 2 Global Express-6000 SIGINT aircraft from Canada and UK
" Germany
", UAE,, 4, BR-710, 2015, , 
" Germany
", UAE,, 2, BR-710, 2017, , 
" Germany
", United Kingdom, (589), MTU-199, Diesel engine, 2018, (6), For 589 Scout-SV reconnaissance AV and APC from Spain
" Germany
", United Kingdom,, , ASR-NG, 2015, 2018, (1)
" Germany
", United Kingdom,, 29, EC135, 2015, 2016-2018, 29
" Germany
", United Kingdom,, (245), Lance MTS, 2015, 2018, (5)
" Germany
", United Kingdom,, (32), MTU-4000, (2015), , 
" Germany
", United Kingdom,, 48, MTU-4000, 2015, 2018, (4)
" Germany
", United Kingdom,, 23, G-120TP, 2016, 2016-2018, (23)
" Germany
", United Kingdom,, , ASR-NG, 2018, , 
" Germany
", United Kingdom,, 18, MTU-4000, 2018, , 
" Germany
", United States, (22), MTU-1163, Diesel engine, 2008-2017, 12, For 11 Legend (NSC) OPV produced in USA
" Germany
", Venezuela, 32, MTU-1163, Diesel engine, 2009-2012, 28, For 4 POVZEE (Carib\u0233?) and 4 BVL (Guaicamacuto) OPV from Spain
" India
", Myanmar, , Shyena, ASW torpedo, 2018, (10), $38 m deal
" India
", Myanmar,, 6, HJT-16 Kiran-1, 2018, , 
" India
", Seychelles, 1, Do-228MP, MP aircraft, 2018, 1, Aid
" India
", Seychelles,, 1, EL/M-2022, 2015, 2018, 1
" India
", Sri Lanka, 2, Samarth, OPV, 2017-2018, 2, Sri Lankan designation Sayurala
" India
", Viet Nam, 4, L&T 35m, Patrol craft, , , $100 m deal |  for border guard
" Indonesia
", Senegal, 1, CN-235MP, MP aircraft, , , CN-235-220 version
" Indonesia
", Senegal,, 1, C-212MP, 2018, , 
" Indonesia
", Nepal, 1, CN-235, Transport aircraft, , , CN-235-220M version |  delivery planned 2019
" Indonesia
", Philippines, 2, C-212, Transport aircraft, 2018, 2, PHP814 m ($18 m) deal |  NC-212i version
" Indonesia
", Viet Nam, 2, C-212, Transport aircraft, 2018, 2, NC-212I version
" Israel
", Latvia, . ., Spike-MR/LR, Anti-tank missile, , , EUR108 m deal |  for CVR-T tank destroyers |  from German production line |  delivery planned by 2023
" Israel
", Australia, , Spike-LR-2, Anti-tank missiles, , , For Boxer IFV |  part of 'Land-400 Phase-2' programme
" Israel
", Austria, , WS4 Panther, APC turret, , , Produced in Austria
" Israel
", Azerbaijan, 6, OPV-62, FAC, 2015-2018, (6), 
" Israel
", Azerbaijan,, 2, Saar-72, (2013), , 
" Israel
", Azerbaijan,, (100), Orbiter-1K, 2016, 2016-2018, (60)
" Israel
", Brazil, (216), UT-25/UT-30, IFV turret, 2014-2018, (50), $260 m deal |  UT-30 version |  for VBTP-MR IFV produced in Brazil
" Israel
", Canada, 10, EL/M-2084, Air search radar, 2017-2018, (7), CAD243 m ($187 m) 'MRR' programme
" Israel
", Czechia, 8, EL/M-2084, Air search radar, , , CZ3.6b ($161 m) deal (incl production of components in Czech Republic) |  delivery planned 2019-2021
" Israel
", Germany, (3500), Spike-MR/LR, Anti-tank missile, , , Produced in Germany |  Spike-LR version |  German designation MELLS |  for Puma IFV
" Israel
", India, (800), Barak-8, SAM, 2016-2018, (450), 'MR-SAM' programme |  incl for 7 Kolkata (Project-15A) destroyers and 1 Vikramaditya (Gorshkov) aircraft carrier |  Indian designation Barak-2MR
" Israel
", India,, (1000), Barak-8ER, 2009, , 
" Israel
", India,, (5), Barak-LR, (2009), , 
" Israel
", India,, 4, Barak-8 VLS, (2017), , 
" Israel
", Italy, 990, Spike-MR/LR, Anti-tank missile, 2009-2018, (890), EUR121 m deal (incl 90 launchers |  incl production of components and assembly in Italy) |  Spike-LR version |  incl for Dardo and Freccia IFV
" Israel
", Kazakhstan, (10), SandCat, APV, 2018, (10), Produced in Kazakhstan as Alan
" Israel
", Poland, 1000, Spike-MR/LR, Anti-tank missile, 2017-2018, (400), PLN602 m ($152 m) deal |  Spike-LR version for AMV (Rosomak) IFV |  delivery 2017-2020
" Israel
", African Union**, 3, Aerostar, UAV, 2018, (3), For use by AU peacekeeping forces in Somalia |  financed by USA
" Israel
", Azerbaijan, (250), Spike-NLOS, SSM/ASM, 2014-2018, (250), For OPV-62 and Shaldag FAC
" Israel
", Azerbaijan,, (100), SandCat, 2015, 2016-2018, (100)
" Israel
", Azerbaijan,, (100), Skystriker, (2016), 2018, (100)
" Israel
", Azerbaijan,, (2), Hermes-900, (2017), 2017-2018, (2)
" Israel
", Azerbaijan,, (50), LORA, (2017), 2018, (50)
" Israel
", Azerbaijan,, (4), LORA, (2017), 2018, (4)
" Israel
", Azerbaijan,, (10), Sandcat SPEAR 120mm, (2017), 2018, (10)
" Israel
", Brazil, 10, RecceLite, Aircraft recce system, 2014-2018, (5), Part of $50 m deal |  for modernized AMX (A-1) combat aircraft
" Israel
", Brazil,, (12), EL/M-2032, 2009, 2018, (3)
" Israel
", Brazil,, 4, Air refuel system, (2014), , 
" Israel
", Brazil,, 2, EL/M-2022, 2014, 2017, 1
" Israel
", Canada, 16, EL/M-2022, MP aircraft radar, , , For 16 C-295W maritime patrol aircraft
" Israel
", Croatia, 8, UT-25/UT-30, IFV turret, , , HRK94 m ($14.8 m) deal |  UT-30MK2 version for 6 AMV IFV |  delivery planned 2018
" Israel
", Finland, , ANAM, Anti-ship missile, , ," EUR162 m deal (EUR193 m option on kore) |  Gabriel-5 version |  Finnish designation SSM-2020, for Hamina FAC and Pohjanmaa (Squadron 2020) corvettes and coast defence system |  delivery planned from 2019"
" Israel
", Finland,, , EL/M-2311, (2018), , 
" Israel
", Germany, 1000, Spike-MR/LR, Anti-tank missile, 2018, (50), EUR158 m deal (incl EUR112 m for missiles and EUR26 m for launchers) |  produced in Germany |  Spike-LR version |  German designation MELLS
" Israel
", Germany,, (5), Heron-TP, (2018), , 
" Israel
", India, (20), EL/M-2032, Combat ac radar, 2016-2018, (9), For 20 Tejas (LCA) Mk-1 combat aircraft produced in India
" Israel
", India,, . ., Litening, 2007, , 
" Israel
", India,, 5, Barak-8 VLS, (2009), 2014-2016, 3
" Israel
", India,, (4), EL/M-2221 STGR, (2010), 2014-2017, 3
" Israel
", India,, (60), EL/M-2052, 2012, , 
" Israel
", India,, 4, EL/M-2248 MF-STAR, (2013), , 
" Israel
", India,, (8), EL/M-2221 STGR, (2014), , 
" Israel
", India,, 1, EL/M-2248 MF-STAR, (2015), , 
" Israel
", India,, , EL/M-20600, (2016), , 
" Israel
", India,, 4, EL/M-2083 APR, (2016), , 
" Israel
", India,, 10, Heron-TP, (2016), , 
" Israel
", India,, 131, Barak-1, (2017), , 
" Israel
", India,, , Barak-8, (2017), , 
" Israel
", India,, (36), Litening, (2017), , 
" Israel
", India,, 2, EL/M-2075 Phalcon, (2018), , 
" Israel
", India,, (10), Heron, (2018), , 
" Israel
", Italy, 2, EL/W-2085, AEW&C system, 2016-2018, 2, For G-550 AEW aircraft (aircraft from USA fitted with Israeli AEW system)
" Israel
", Lithuania, 86, Samson RCWS-30, IFV turret, , , Samson Mk-2 version for 86 Boxer IFV from FRG
" Israel
", Lithuania,, (1000), Spike-MR/LR, (2016), , 
" Israel
", Myanmar, 6, Super Dvora, Patrol craft, 2017-2018, (4), Super Dvora Mk-3 version
" Israel
", Philippines, 3, EL/M-2288 AD-STAR, Air search radar, 2017, 1, $56 m deal |  delivery planned 2017-2019
" Israel
", Philippines,, (100), Spike-ER, 2016, 2017-2018, (100)
" Israel
", Philippines,, , Spike-NLOS, 2016, , 
" Israel
", Philippines,, 1, EL/M-2022, 2017, 2018, 1
" Israel
", Philippines,, 44, ORCWS, 2018, , 
" Israel
", Romania, (1000), Spike-MR/LR, Anti-tank missile, 2017-2018, (457), EUR130 m deal |  from German production line |  delivery planned 2017-2019
" Israel
", Singapore, (500), Spike-SR, Anti-tank missile, 2017-2018, (300), 
" Israel
", South Korea, 1, EL/M-2248 MF-STAR, Multifuntion radar, , , For 1 Dokdo AALS produced in South Korea
" Israel
", South Korea,, 2, EL/M-2080 Green Pine, (2018), , 
" Israel
", Spain, 6, Orbiter-1K, Loitering munition, , , EUR3.1 m deal: Orbiter-3 version
" Israel
", Switzerland, 6, Hermes-900, UAV, , , CHF250 m ($260-280 m) 'ADS-15' ('UAS-15') programme |  delivery planned 2019
" Israel
", Thailand, (12), ATMOS-2000 155mm, Self-propelled gun, 2017-2018, (12), 
" Israel
", Thailand,, 10, CARDOM 120mm, (2016), 2018, (10)
" Israel
", Thailand,, (14), EL/M-2032, 2017, 2018, (1)
" Israel
", Thailand,, 8, EL/M-2032, 2017, , 
" Israel
", Thailand,, 4, Hermes-450, 2017, 2018, 4
" Israel
", Thailand,, 14, Litening, 2017, 2018, (1)
" Israel
", Thailand,, 6, ATMOS-2000 155mm, 2018, , 
" Israel
", Thailand,, (2), Dominator-2, 2018, , 
" Israel
", Unknown recipient(s), , Condor-2, Aircraft EO system, , , $82 m deal |  recipient is Asia-Pacific country
" Israel
", Viet Nam, (200), Derby, BVRAAM, 2016-2018, (200), For SPYDER SAM systems
" Israel
", Viet Nam,, (200), Python-5, (2015), 2016-2018, (200)
" Israel
", Viet Nam,, (5), SPYDER-MR, (2015), 2016-2018, (5)
" Italy
", Portugal, 5, AW119 Koala, Light helicopter, 2018, (1), EUR20 m deal |  option on 2 more |  from US production line |  AW119Kx version |  delivery planned 2018-2020
" Italy
", Brazil, (43), SCP-01 Scipio, Combat ac radar, 2013-2015, (3), Designed for Brazil for modernization of 43 AMX (A-1) combat aircraft (ncl production of components in Brazil)
" Italy
", Brazil,, (2044), VBTP Guarani, 2009, 2012-2018, (364)
" Italy
", India, 4, Super Rapid 76mm, Naval gun, 2014-2017, 3, For 4 Kamorta (Project-28) frigates produced in India
" Italy
", India,, (4), Super Rapid 76mm, (2010), , 
" Italy
", India,, 5, Super Rapid 76mm, (2011), , 
" Italy
", Norway, 6, NH-90 NFH, ASW helicopter, 2018, (2), Part of $425 m deal (offsets incl production of components in Norway) |  delivery planned 2018-2019
" Italy
", Norway,, 8, NH-90 TTH, 2001, 2011-2018, (8)
" Italy
", Taiwan, 6, Gaeta, MCM ship, , , Incl 5 produced in Taiwan |  delivery planned from 2019
" Italy
", Turkey, 6, ATR-72MP, ASW aircraft, , , 'Meltem-3' or 'Uzun Ufuk' programme |  assembled in Turkey |  ATR-72-600ASW version |  delivery planned 2019-2020
" Italy
", Turkey,, 50, A-129C Mangusta, (2008), 2016-2018, (36)
" Italy
", United States, (234), ACV-1.1, APC, , , 'ACV-1.1' (formerly 'MPC') programme for marines |  produced in USA
" Italy
", United States,, (84), AW139, 2018, , 
" Italy
", Algeria, (1), MCMV-2010, MCM ship, , , MHMR version
" Italy
", Angola, (4), A-109K, Light helicopter, 2017, 2, Part of EUR90 m deal |  AW109E version
" Italy
", Angola,, (4), AW139, 2015, 2017-2018, (4)
" Italy
", Australia, 10, C-27J Spartan, Transport aircraft, 2015-2018, (10), AUD1.4 b ($1.4 b) 'Project Air-8000 Phase-2'
" Italy
", Bahrain, 6, Orion RTN-25X, Fire control radar, 2018, 2, For modernization of 6 Bahraini navy ships
" Italy
", Bangladesh, 1, RAT-31DL, Air search radar, 2018, 1, BDT1.5 b ($18 m) deal
" Italy
", Bangladesh,, 2, AW139, (2017), 2018, 2
" Italy
", Brazil, (36), Skyward, Aircraft IRST, , , For 36 Gripen-E (Gripen-NG) combat aircraft from Sweden
" Italy
", Brazil,, 16, LMV, 2018, 2018, 16
" Italy
", Cameroon, 4, A-109K, Light helicopter, , , AW-109E version
" Italy
", Czechia, 80, LMV, APV, , , CZK5.1 b ($233 m) deal |  modified to NBC reconnaissance version in Czech Republic |  delivery planned 2020-2022
" Italy
", Egypt, 4, Super Rapid 76mm, Naval gun, 2017, 1, For 4 Gowind frigates from France
" Italy
", France, 8, Super Rapid 76mm, Naval gun, 2012-2018, 5, EUR40 m deal |  for 8 Aquitaine (FREMM) frigates produced in France
" Italy
", Germany, 5, 127/64LW, Naval gun, 2012, 1, EUR70 m deal |  for 4 Baden-Wuerttemberg (F-125) frigates produced in FRG and 1 for training |  delivery planned 2012-2019
" Italy
", Germany,, 7, Super Rapid 76mm, 2018, , 
" Italy
", Greece, 2, Super Rapid 76mm, Naval gun, , , For 2 Super Vita (Roussen) FAC from UK
" Italy
", Greece,, 12, P2002 Sierra, 2018, 2018, 12
" Italy
", India, 1, RAN-40L, Air search radar, , , For Vikrant (IAC or Project-71) aircraft carrier produced in India
" Italy
", India,, 13, 127/64LW, (2015), , 
" Italy
", Indonesia, (24), Black Shark, AS/ASW torpedo, 2017-2018, (24), For Type-209/1400 submarines
" Italy
", Indonesia,, , M-113 Arisgator, (2016), 2017-2018, (10)
" Italy
", Ireland, 1, Super Rapid 76mm, Naval gun, 2018, 1, For 1 PV-90 OPV from UK
" Italy
", Jordan, 80, Centauro, AFSV, 2017-2018, (80), Second-hand (possibly to be modernized after delivery in Jordan with Italian kits) |  incl 24 as aid |  61 more for spares only
" Italy
", Kenya, 3, C-27J Spartan, Transport aircraft, , , Delivery planned 2019
" Italy
", Kuwait, 28, Typhoon Block-20, FGA aircraft, , , EUR7-8 b deal |  delivery planned 2020-2023
" Italy
", Kuwait,, , Marte-ER, (2018), , 
" Italy
", Libya GNC, 2, Bigliani, Patrol craft, 2018, 2, Second-hand but modernized before delivery |  aid |  Bigliani-2 version
" Italy
", Malaysia, 12, TMX, Fire control radar, , , For 6 Gowind frigates from France
" Italy
", Malta, 1, CNV-1800, OPV, , , EUR17 m ($20 m) deal |  delivery planned 2020 |  designation uncertain
" Italy
", Nepal, 1, AW139, Helicopter, 2018, 1, 
" Italy
", Nigeria, (6), A-109K, Light helicopter, , , Armed AW109M version |  probably selected but not yet ordered by end-2018
" Italy
", Norway, 62, LMV, APV, 2017-2018, (62), 
" Italy
", Pakistan, 245, M-109A1 155mm, Self-propelled gun, 2017-2018, (120), Second-hand |  M-109L version
" Italy
", Pakistan,, (79), Puma, 2015, 2018, 79
" Italy
", Pakistan,, (), AW139, 2017, 2016-2017, 3
" Italy
", Pakistan,, (15), AW139, 2017, 2017-2018, (15)
" Italy
", Pakistan,, 4, Super Rapid 76mm, (2018), , 
" Italy
", Poland, 1, Super Rapid 76mm, Naval gun, , , For 1 MEKO-A100 (Project-621 Gawron-2) OPV from FRG
" Italy
", Qatar, 4, Kronos, Air search radar, 2017-2018, (4), QAR1.7 b ($467 m) deal
" Italy
", Qatar,, (86), ASTER-30, 2016, , 
" Italy
", Qatar,, 1, BDSL, 2016, , 
